"ID_REF"	"GSM2094855"	"GSM2094856"	"GSM2094857"	"GSM2094858"
1	0.038387909	0.052222	0.118827322	-0.0399159
2	-0.180163550	0.0803006	-0.057282774	0.0430115
3	-0.179909500	0.0797575	-0.058956700	0.0430909
4	-0.179631483	0.0791664	-0.060524750	0.0431708
5	-0.179355413	0.0786047	-0.062060448	0.0432164
6	-0.179055938	0.0781115	-0.063516254	0.0433129
7	0.026660538	0.0775791	0.068305015	0.0433752
8	-0.178374784	0.0771069	-0.066211107	0.0433714
9	-0.178034165	0.0766112	-0.067443850	0.0433999
10	-0.177635850	0.076152	-0.068627418	0.0433521
11	-0.177213382	0.0756957	-0.069737135	0.0433667
12	-0.007690860	0.0130129	0.024339375	-0.00392582
13	0.460714011	-0.640041	0.737589053	-0.626394
14	0.458692383	-0.241992	0.562957873	-0.414885
15	-0.024787580	-0.00901234	-0.038964924	-0.0423951
16	-0.037926271	-0.0333267	-0.100130714	-0.0591541
17	-0.666612249	0.291124	-0.074932093	0.259169
18	-0.092771933	0.0262002	-0.069563741	0.061203
19	0.426346594	-0.422356	0.462132201	-0.480843
20	0.444881569	0.00921691	-0.081310760	-0.150232
21	-0.171944034	0.0710469	0.040016868	0.0416607
22	-0.171306348	0.0705119	-0.077469953	0.0413543
23	0.081713084	0.00395257	0.359994695	-0.136182
24	-0.098359766	0.0695251	-0.078035838	0.0406341
25	-0.169233692	0.717391	-0.459063458	0.451008
26	-0.112076938	0.0120278	-0.049215910	0.0331611
27	-0.017606192	-0.0947274	-0.027183568	-0.124387
28	0.063154651	-0.0841869	-0.007922311	-0.0945825
29	-0.047796140	-0.00228238	-0.074389877	-0.0280681
30	-0.350329154	0.728971	-0.322845686	0.0379104
31	0.045945168	0.0655181	-0.078246027	0.0374169
32	-0.163951141	0.0648805	-0.078065164	0.0368549
33	0.086563616	-0.0151223	0.056006275	-0.0565785
34	-0.116547275	-0.30786	0.154744392	0.198811
35	-0.034400833	-0.0148244	0.003219386	-0.055798
36	0.495989180	-0.436435	0.518755756	-0.414142
37	-0.274278849	0.0614479	-0.455226745	0.159442
38	-0.070306565	-0.0857742	0.071782095	0.0866049
39	0.462626465	-0.288862	0.727370594	0.0589614
40	0.510400332	-0.144415	0.706875191	-0.392168
